,Title,Category,Room Count,Floor,Area,Updated At,Price,Location
1381,"WEAL WORLD' den Ferit Selim Paşa Cadde Üzeri, 3+1, Lüks Köşe Dai",homeDaire,weekend3+1,layers1. Kat,texture160 m2,event20 Ağustos,3.875.000 TL,İstanbul - Bahçelievler - Soğanlı Mh.
1382,SONSUZ BEYKENT'DEN ADNAN KAHVECİDE BUTİK SİTEDE 2+1 DAİRE,homeDaire,weekend2+1,layers1. Kat,texture115 m2,event19 Ağustos,2.999.999 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1383,"WEAL WORLD' den K.OTOPARKLI, SIFIR, 3+1, LÜKS YÜKSEK GİRİŞ DAİRE",homeDaire,weekend3+1,layersYüksek giriş,texture125 m2,event20 Ağustos,5.400.000 TL,İstanbul - Bahçelievler - Siyavuşpaşa Mh.
1384,Mertcan dan Hürriyet Mah Ulaşımı Kolay İskanlı 2+1 AraKat,homeDaire,weekend2+1,layers2. Kat,texture85 m2,event19 Ağustos,3.570.000 TL,İstanbul - Kartal - Hürriyet Mh.
1385,SONSUZ BEYKENT DEN ADNAN KAHVECİNİN MERKEZİNDE KONSEPTLİ SİTE İÇ,homeDaire,weekend3.5+1,layers2. Kat,texture160 m2,event19 Ağustos,8.499.999 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1386,AVCILAR ZEN YAPI'DAN SATILIK 2+1 METROBÜSE YÜRÜME MESAFESİNDE DAİ,homeDaire,weekend2+1,layersBahçe katı,texture100 m2,event20 Ağustos,1.720.000 TL,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
1387,"WEAL WORLD' den Devlet Hst.Yakını, Otoparklı, 31, Sıfır Daireler",homeDaire,weekend3+1,layers5. Kat,texture135 m2,event20 Ağustos,6.500.000 TL,İstanbul - Bahçelievler - Şirinevler Mh.
1388,SONSUZ BEYKENT'den MARMARA MAHALLESİ FULL CONCEPT SİTE İÇİ 2+1,homeDaire,weekend2+1,layers2. Kat,texture155 m2,event19 Ağustos,6.750.000 TL,İstanbul - Beylikdüzü - Marmara Mh.
1389,"WEAL WORLD' den Bahçelinizam da, K.Otoparklı Butik Sitede, 3+1,",homeDaire,weekend3+1,layers2. Kat,texture140 m2,event20 Ağustos,12.390.000 TL,İstanbul - Bahçelievler - Bahçelievler Mh.
1390,"WEAL WORLD' den Basınsitesi'nde, Asansörlü, 3+1, Bakımlı Daire .",homeDaire,weekend3+1,layers1. Kat,texture120 m2,event20 Ağustos,3.400.000 TL,İstanbul - Bahçelievler - Soğanlı Mh.
